# ----------------------------------------
# Aerlingus.com All Website Traffic (excluding internal EI traffic) UA
# New Custom Report
# 20180212-20180212
# ----------------------------------------

Transaction ID,Booked Origin Airport,Booked Destination Airport,trans_Date,Quantity
25374W|6793baccff999822be9c1ed708521b1447ccb7a0,DUB,ORD,2018-02-12T00:34:30.746Z,7
25374W|6793baccff999822be9c1ed708521b1447ccb7a0,ORD,DUB,2018-02-12T00:34:30.746Z,7
2EU8QB|b5121bd9483696051995f196c1be5560383a16d2,BCN,DUB,2018-02-12T08:56:03.803Z,7
2EU8QB|b5121bd9483696051995f196c1be5560383a16d2,DUB,BCN,2018-02-12T08:56:03.803Z,7
2SKJ5N|501044328961d23648a24f5c6b3681de24c29320,DUB,ORD,2018-02-12T03:37:33.937Z,7
2SKJ5N|501044328961d23648a24f5c6b3681de24c29320,ORD,DUB,2018-02-12T03:37:33.937Z,7
2IVASB|3c74c395869fd63dd055913618047fcc7c8c1c2c,DUB,GLA,2018-02-12T00:40:43.075Z,6
2NQ4ZF|af1ee130ca0693c8eae59cde05428ea9fbb6c1d1,CDG,ORD,2018-02-12T00:57:14.884Z,6
2NQ4ZF|af1ee130ca0693c8eae59cde05428ea9fbb6c1d1,ORD,CDG,2018-02-12T00:57:14.884Z,6
2NQDQS|8050d0116bebde3da6534c195952fd8876b9f3d1,LHR,SNN,2018-02-12T07:51:46.494Z,6
2NQDQS|8050d0116bebde3da6534c195952fd8876b9f3d1,SNN,LHR,2018-02-12T07:51:46.494Z,6
2RKXEB|a9b24f156af29d4a3ac002447d1620ed7a479e03,GLA,YYZ,2018-02-12T03:00:08.982Z,6
2RKXEB|a9b24f156af29d4a3ac002447d1620ed7a479e03,YYZ,GLA,2018-02-12T03:00:08.982Z,6
23SWNS|d85b9a5503957e666e0ed30911367602df0464d8,DUB,EDI,2018-02-12T01:27:56.408Z,4
23SY8B|650f8f3e0001c2896d787f0f5e89c22d9024058c,BOS,SNN,2018-02-12T02:51:25.647Z,4
23SY8B|650f8f3e0001c2896d787f0f5e89c22d9024058c,SNN,BOS,2018-02-12T02:51:25.647Z,4
23SYTF|8cca30192d1f3f4743307dc2d1b616a461d212cc,DUB,MSP,2018-02-12T03:44:12.626Z,4
23SYTF|8cca30192d1f3f4743307dc2d1b616a461d212cc,MSP,DUB,2018-02-12T03:44:12.626Z,4
23T262|8362b1a950b447509c937acfe0378055801913e4,SNN,EDI,2018-02-12T05:30:18.758Z,4
27GRKB|8d711fc62a66f1fb7936c2f6c9e9d2fe9934623c,DUB,MAD,2018-02-12T00:15:08.999Z,4
27MVUS|a94cd8a80c838201890ce3d5d8151564f0523174,DUB,NQY,2018-02-12T03:43:18.910Z,4
27MVUS|a94cd8a80c838201890ce3d5d8151564f0523174,NQY,DUB,2018-02-12T03:43:18.910Z,4
27N282|c35812e1b49ebd7ed4d675fe6ccc55b1c6a3df62,MAN,ORK,2018-02-12T07:31:02.406Z,4
27N282|c35812e1b49ebd7ed4d675fe6ccc55b1c6a3df62,ORK,MAN,2018-02-12T07:31:02.406Z,4
27YYJ2|64b59000621c7b03f6f62910ebeeb02d307d06d0,BHD,LHR,2018-02-12T08:53:28.571Z,4
27YYJ2|64b59000621c7b03f6f62910ebeeb02d307d06d0,LHR,BHD,2018-02-12T08:53:28.571Z,4
27Z2I2|681f3a39f6fd5d707e086df05f7392beb07852e5,AMS,ORK,2018-02-12T09:36:15.774Z,4
27Z2I2|681f3a39f6fd5d707e086df05f7392beb07852e5,ORK,AMS,2018-02-12T09:36:15.774Z,4
28M32J|b96452ee9c9b0889ef77f6ac24e7cfe4a1df5b3b,SNN,EDI,2018-02-12T04:02:40.853Z,4
2HGHJF|3baf9bb0c358314a95c203658277252e18bba47c,DUB,VCE,2018-02-12T07:33:28.510Z,4
2NFVJS|8d711fc62a66f1fb7936c2f6c9e9d2fe9934623c,PMI,DUB,2018-02-12T00:03:39.301Z,4
2NFY3J|7cb7d8382fddb3ae5ffc8f92a553aa6063b679dc,DUB,PHL,2018-02-12T01:38:36.691Z,4
2NFY3J|7cb7d8382fddb3ae5ffc8f92a553aa6063b679dc,PHL,DUB,2018-02-12T01:38:36.691Z,4
2PBHNW|b3164687c5e2b77389d4ea1dc4a93e1df60e932b,DUB,MUC,2018-02-12T03:33:27.881Z,4
2PBHNW|b3164687c5e2b77389d4ea1dc4a93e1df60e932b,MUC,DUB,2018-02-12T03:33:27.881Z,4
2PSEQF|253ca4b6dc96248b6325773c278248c263218459,DUB,LAX,2018-02-12T08:27:15.517Z,4
2PSEQF|253ca4b6dc96248b6325773c278248c263218459,LAX,DUB,2018-02-12T08:27:15.517Z,4
2PSGL2|c064ebb19744e332599070e89882254caa092277,LHR,BHD,2018-02-12T09:22:44.635Z,4
2R2AAN|027e6b1b51d623f4277942229a60d742390767cf,BDL,EDI,2018-02-12T01:04:05.086Z,4
2R2AAN|027e6b1b51d623f4277942229a60d742390767cf,EDI,BDL,2018-02-12T01:04:05.086Z,4
2SH3GB|b5121bd9483696051995f196c1be5560383a16d2,BCN,DUB,2018-02-12T08:36:22.839Z,4
2SH3GB|b5121bd9483696051995f196c1be5560383a16d2,DUB,BCN,2018-02-12T08:36:22.839Z,4
2SKF6S|484aff521023e343ad7d00d1f4d50747a2e618b1,EDI,DUB,2018-02-12T00:12:47.052Z,4
2SKHJF|2d93ab5bcc846e964317b038ba4b14f5b59b12e1,DUB,LAX,2018-02-12T01:34:32.230Z,4
2SKHJF|2d93ab5bcc846e964317b038ba4b14f5b59b12e1,LAX,DUB,2018-02-12T01:34:32.230Z,4
2T7JV6|820c60bc0b3da222cd7536dd4271200e9936c063,DUB,LHR,2018-02-12T01:02:34.292Z,4
